Moon	Planet	D_moon_max	D_moon_min	D_sun_max	D_sun_min
Moon	Earth	0.004764259	0.004310519	0.004740537	0.004554633
Phobos	Mars	0.001247166	0.001198257	0.003350604	0.002797293
Deimos	Mars	0.00026087	0.00026087	0.003350604	0.002797293
Metis	Jupiter	0.00015625	0.00015625	0.000939934	0.000850417
Adrastea	Jupiter	7.75194E-05	7.75194E-05	0.000939934	0.000850417
Amalthea	Jupiter	0.000519337	0.000519337	0.000939934	0.000850417
Thebe	Jupiter	0.000229822	0.000220809	0.000939934	0.000850417
Io	Jupiter	0.004315169	0.004315169	0.000939934	0.000850417
Europa	Jupiter	0.002355899	0.002309248	0.000939934	0.000850417
Ganymede	Jupiter	0.002461683	0.002461683	0.000939934	0.000850417
Callisto	Jupiter	0.001289046	0.00126352	0.000939934	0.000850417
Leda	Jupiter	8.48365E-07	6.27053E-07	0.000939934	0.000850417
Himalia	Jupiter	9.6441E-06	6.98366E-06	0.000939934	0.000850417
Lysithea	Jupiter	1.72566E-06	1.38364E-06	0.000939934	0.000850417
Elara	Jupiter	4.09826E-06	2.67572E-06	0.000939934	0.000850417
Ananke	Jupiter	8.52466E-07	6.04741E-07	0.000939934	0.000850417
Carme	Jupiter	1.1202E-06	7.31368E-07	0.000939934	0.000850417
Pasiphae	Jupiter	1.71585E-06	7.70891E-07	0.000939934	0.000850417
Sinope	Jupiter	1.05485E-06	5.93354E-07	0.000939934	0.000850417
Pan	Saturn	7.46269E-05	7.46269E-05	0.000517253	0.000458696
Atlas	Saturn	0.000108696	0.000108696	0.000517253	0.000458696
Prometheus	Saturn	0.000330935	0.000330935	0.000517253	0.000458696
Pandora	Saturn	0.000295775	0.000295775	0.000517253	0.000458696
Epimetheus	Saturn	0.000381296	0.000373746	0.000517253	0.000458696
Janus	Saturn	0.000595358	0.000583568	0.000517253	0.000458696
Mimas	Saturn	0.001091727	0.001048914	0.000517253	0.000458696
Enceladus	Saturn	0.001046219	0.001046219	0.000517253	0.000458696
Tethys	Saturn	0.00179661	0.00179661	0.000517253	0.000458696
Telesto	Saturn	5.08475E-05	5.08475E-05	0.000517253	0.000458696
Calypso	Saturn	4.40678E-05	4.40678E-05	0.000517253	0.000458696
Dione	Saturn	0.001485411	0.001485411	0.000517253	0.000458696
Helene	Saturn	4.2869E-05	4.20201E-05	0.000517253	0.000458696
Rhea	Saturn	0.001449715	0.001449715	0.000517253	0.000458696
Titan	Saturn	0.002172373	0.002045827	0.000517253	0.000458696
Hyperion	Saturn	0.000107285	8.77785E-05	0.000517253	0.000458696
Iapetus	Saturn	0.000207865	0.000195756	0.000517253	0.000458696
Phoebe	Saturn	1.01106E-05	7.32146E-06	0.000517253	0.000458696
Cordelia	Uranus	0.00026	0.00026	0.000254818	0.000230549
Ophelia	Uranus	0.000296296	0.000296296	0.000254818	0.000230549
Bianca	Uranus	0.000372881	0.000372881	0.000254818	0.000230549
Cressida	Uranus	0.000532258	0.000532258	0.000254818	0.000230549
Desdemona	Uranus	0.000460317	0.000460317	0.000254818	0.000230549
Juliet	Uranus	0.00065625	0.00065625	0.000254818	0.000230549
Portia	Uranus	0.000833333	0.000833333	0.000254818	0.000230549
Rosalind	Uranus	0.000385714	0.000385714	0.000254818	0.000230549
Belinda	Uranus	0.000453333	0.000453333	0.000254818	0.000230549
Puck	Uranus	0.000895349	0.000895349	0.000254818	0.000230549
Miranda	Uranus	0.001815385	0.001815385	0.000254818	0.000230549
Ariel	Uranus	0.003041886	0.003041886	0.000254818	0.000230549
Umbriel	Uranus	0.002199249	0.002199249	0.000254818	0.000230549
Titania	Uranus	0.001809633	0.001809633	0.000254818	0.000230549
Oberon	Uranus	0.001305317	0.001305317	0.000254818	0.000230549
Caliban	Uranus	6.06476E-06	5.16628E-06	0.000254818	0.000230549
Stephano	Uranus	2.48325E-06	1.52199E-06	0.000254818	0.000230549
Sycorax	Uranus	1.33682E-05	4.33801E-06	0.000254818	0.000230549
Prospero	Uranus	2.15562E-06	8.38296E-07	0.000254818	0.000230549
Setebos	Uranus	2.6306E-06	7.20483E-07	0.000254818	0.000230549
Naiad	Neptune	0.000604167	0.000604167	0.000155856	0.000152769
Thalassa	Neptune	0.0008	0.0008	0.000155856	0.000152769
Despina	Neptune	0.001396227	0.001396227	0.000155856	0.000152769
Galatea	Neptune	0.001274194	0.001274194	0.000155856	0.000152769
Larissa	Neptune	0.001297297	0.001297297	0.000155856	0.000152769
Proteus	Neptune	0.001771187	0.001771187	0.000155856	0.000152769
Triton	Neptune	0.00381127	0.00381127	0.000155856	0.000152769
Nereid	Neptune	0.000123345	1.76207E-05	0.000155856	0.000152769
Charon	Pluto	0.030151142	0.030151142	0.000156703	9.40218E-05
Nix	Pluto	0.000469388	0.000469388	0.000156703	9.40218E-05
Hydra	Pluto	0.0004662	0.000456969	0.000156703	9.40218E-05
